1,3,5,7,9,11,13,15,17,19,21,23,25,27,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87,89,91,93,95,97,99,
7.10242,0.915644,1.91465,5.70722,24.1045,60.6324,36.2596,27.3119,24.2003,23.0786,18.6575,16.1339,13.3553,12.0438,10.9426,9.67132,8.58325,7.35803,6.28907,5.81147,5.57619,4.91338,4.28194,3.73997,3.7016,3.82082,3.10416,2.77443,2.45209,2.23719,2.10495,1.98519,1.89613,1.71573,1.65182,1.57281,1.50814,1.44184,1.39028,1.3851,1.3361,1.28533,1.27916,1.2037,1.21246,1.22421,1.18297,1.21281,1.15566,1.18589,
0,0,0.154995,3.55355,17.6297,45.9973,31.446,26.6436,21.4542,20.5338,16.7656,15.095,13.7273,12.0406,10.9818,9.41208,8.58453,7.80779,6.871,5.98364,5.54459,4.99507,4.53135,4.12375,3.805,4.21878,3.37531,3.07424,2.77921,2.65451,2.48468,2.33747,2.13758,2.05874,1.89282,1.84546,1.72103,1.6044,1.5667,1.47325,1.42495,1.39197,1.35972,1.32203,1.29294,1.27358,1.25536,1.25581,1.20787,1.2202,
0,0.989885,0.902619,0.739738,21.932,66.3242,44.5951,30.5428,28.9813,28.411,23.7372,21.371,18.7664,17.1513,14.1859,12.3406,11.261,9.90803,8.64614,7.51265,6.53149,5.82674,5.09038,4.45421,3.6234,3.84249,3.24335,2.71488,2.38534,2.26645,2.05883,1.83227,1.66266,1.56956,1.40228,1.38172,1.35606,1.26948,1.21647,1.13874,1.09602,1.10593,1.09989,1.07035,1.04702,1.03093,1.03345,1.06251,1.05747,1.06961,
0,1.43533,5.01455,8.52104,22.8465,66.1548,40.7117,29.0678,26.3246,25.2404,21.8929,19.1404,16.4927,14.8449,12.6625,11.0617,9.89319,8.42267,7.59125,6.37944,5.37301,5.00318,4.57788,4.08402,3.75046,3.85536,3.04168,2.81878,2.63228,2.41699,2.25745,2.04582,1.97976,1.88963,1.7778,1.70724,1.63318,1.54511,1.47871,1.43828,1.38668,1.39261,1.35547,1.32582,1.29898,1.35086,1.32356,1.30198,1.30989,1.29827,
0,0.989885,2.12435,2.65463,16.2978,46.239,30.4735,22.9073,17.5202,17.5998,13.2858,12.7413,11.9281,10.3811,9.19875,8.16391,7.14462,6.75992,5.78541,5.03414,4.68806,4.18487,3.70659,3.47077,3.21182,3.63525,2.77891,2.58089,2.34027,2.19911,2.05474,1.94475,1.7774,1.74053,1.64745,1.55087,1.43594,1.38867,1.3202,1.29791,1.24982,1.25609,1.2315,1.21435,1.16663,1.16804,1.18887,1.19533,1.17918,1.19677,
0,1.13837,2.11523,2.32222,17.2009,51.2722,31.4487,23.4229,21.1516,20.5696,16.8436,14.444,12.1327,10.2842,9.0678,7.62187,6.63468,5.9916,5.12386,4.34092,4.11081,3.87875,3.59461,3.23732,3.0158,3.13066,2.6796,2.51859,2.44704,2.34222,2.24317,2.17919,2.07395,1.98389,1.84785,1.82443,1.71683,1.67194,1.59721,1.54649,1.53013,1.46355,1.46572,1.43857,1.42447,1.42609,1.3445,1.30999,1.30464,1.28441,
0,0,0,0.0655464,14.7416,63.9999,45.4735,30.0159,24.6809,24.591,23.0213,19.1404,16.028,13.5208,12.0984,10.1028,8.78829,7.64153,6.33596,5.31152,4.65674,4.20885,3.55777,3.09033,2.81573,2.72258,2.27575,2.14968,1.93126,1.8285,1.69475,1.49081,1.36922,1.26761,1.2047,1.14301,1.08003,0.995117,0.962172,0.882395,0.883258,0.892803,0.85202,0.856324,0.881837,0.829278,0.792072,0.802298,0.774834,0.767646,
0,0.0494942,0.902619,1.47948,25.4733,94.4598,57.41,34.9576,33.6505,36.1884,27.1416,23.2538,20.4773,17.8411,14.486,12,10.0312,8.6679,7.18761,5.71294,4.70908,4.30327,3.74104,3.07737,2.59383,2.77132,2.22699,1.90499,1.76265,1.45252,1.41886,1.27545,1.17495,1.00053,0.923828,0.871281,0.817002,0.78284,0.713176,0.697471,0.653035,0.683767,0.678215,0.600217,0.631512,0.603195,0.56498,0.542261,0.554547,0.571534,
0,1.65806,2.04229,3.47396,20.5803,81.637,34.7674,23.1708,27.1707,25.6176,20.4882,15.9812,14.3042,12.9926,11.0208,9.20593,7.81591,6.6768,5.85102,5.27296,4.37155,3.95556,3.5986,3.29701,3.10708,3.72751,2.76716,2.62677,2.51023,2.33021,2.13524,1.98647,1.91783,1.88387,1.78712,1.66994,1.67756,1.62481,1.56721,1.49305,1.42189,1.40606,1.41343,1.32213,1.27944,1.22346,1.20828,1.15631,1.15689,1.14163,
0,0,0,0.17323,5.1543,30.9929,25.1824,17.6018,14.0779,10.7345,9.16496,8.97566,9.04858,7.6864,7.78381,7.05966,6.90184,5.94844,5.50507,5.37924,5.04427,4.49623,4.36633,4.05663,4.0521,3.87872,3.60379,3.43612,3.29755,3.14361,3.02255,2.77179,2.5856,2.53295,2.40926,2.36332,2.25077,2.10504,2.08593,1.9341,1.90683,1.84622,1.79831,1.72568,1.6485,1.59315,1.56628,1.54625,1.5003,1.51646,
